	artist_name	track_name	uri	0	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	track_href	analysis_url	duration_ms	time_signature
5205	Kari Faux	McGrady	spotify:track:2tvWXVZIoYPE31MZXUPiXW	26	0.756	0.655	10	-5.052	1	0.0583	0.0508	0.000908	0.0861	0.838	80.023	audio_features	2tvWXVZIoYPE31MZXUPiXW	https://api.spotify.com/v1/tracks/2tvWXVZIoYPE31MZXUPiXW	https://api.spotify.com/v1/audio-analysis/2tvWXVZIoYPE31MZXUPiXW	164548	4
5206	Kari Faux	Mo' Liquor	spotify:track:2GDKZxasF0ZPGMxUx4YDtG	35	0.825	0.877	1	-4.158	1	0.182	0.357	0.000681	0.114	0.734	100.085	audio_features	2GDKZxasF0ZPGMxUx4YDtG	https://api.spotify.com/v1/tracks/2GDKZxasF0ZPGMxUx4YDtG	https://api.spotify.com/v1/audio-analysis/2GDKZxasF0ZPGMxUx4YDtG	170400	4
5207	Kari Faux	Mo' Liquor	spotify:track:79T0CC49K6SMSWousGnmyR	37	0.825	0.877	1	-4.158	1	0.182	0.357	0.000681	0.114	0.734	100.085	audio_features	79T0CC49K6SMSWousGnmyR	https://api.spotify.com/v1/tracks/79T0CC49K6SMSWousGnmyR	https://api.spotify.com/v1/audio-analysis/79T0CC49K6SMSWousGnmyR	170400	4
5208	Kari Faux	StickUp!	spotify:track:0EmQ8937ljSy3bbQ9DXB3i	2	0.865	0.826	2	-4.356	1	0.0792	0.00889	0.499	0.193	0.472	133.994	audio_features	0EmQ8937ljSy3bbQ9DXB3i	https://api.spotify.com/v1/tracks/0EmQ8937ljSy3bbQ9DXB3i	https://api.spotify.com/v1/audio-analysis/0EmQ8937ljSy3bbQ9DXB3i	159757	4
5209	Kash Doll	ABOW	spotify:track:5KEpflyct0AqX7H7GVlQVj	5	0.932	0.57	1	-7.616	1	0.267	0.0675	0.0	0.0916	0.291	102.017	audio_features	5KEpflyct0AqX7H7GVlQVj	https://api.spotify.com/v1/tracks/5KEpflyct0AqX7H7GVlQVj	https://api.spotify.com/v1/audio-analysis/5KEpflyct0AqX7H7GVlQVj	134184	4
5210	Kash Doll	Bossa Nova (feat. Tee Grizzley)	spotify:track:16P9KvAKrYDA7lH7jgquDd	1	0.908	0.696	9	-5.18	1	0.264	0.0213	4.06e-05	0.0747	0.287	102.032	audio_features	16P9KvAKrYDA7lH7jgquDd	https://api.spotify.com/v1/tracks/16P9KvAKrYDA7lH7jgquDd	https://api.spotify.com/v1/audio-analysis/16P9KvAKrYDA7lH7jgquDd	156842	4
5211	Kash Doll	Doin Too Much	spotify:track:3O2gpEXz5HZ5uTxeeRE1M1	55	0.845	0.446	7	-9.866	1	0.365	0.00272	0.000432	0.328	0.801	160.091	audio_features	3O2gpEXz5HZ5uTxeeRE1M1	https://api.spotify.com/v1/tracks/3O2gpEXz5HZ5uTxeeRE1M1	https://api.spotify.com/v1/audio-analysis/3O2gpEXz5HZ5uTxeeRE1M1	149092	4
5212	Kash Doll	Ice Me Out	spotify:track:6lJl03rkDmbmP5dtmY7MiI	3	0.864	0.488	1	-9.463	1	0.52	0.0592	0.000678	0.0837	0.425	75.036	audio_features	6lJl03rkDmbmP5dtmY7MiI	https://api.spotify.com/v1/tracks/6lJl03rkDmbmP5dtmY7MiI	https://api.spotify.com/v1/audio-analysis/6lJl03rkDmbmP5dtmY7MiI	182662	4
5213	Kash Doll	Ready Set (feat. Big Sean)	spotify:track:050ud0e5cmIYjmXplDugVQ	1	0.849	0.62	4	-5.921	0	0.0589	0.00252	0.000283	0.113	0.481	96.005	audio_features	050ud0e5cmIYjmXplDugVQ	https://api.spotify.com/v1/tracks/050ud0e5cmIYjmXplDugVQ	https://api.spotify.com/v1/audio-analysis/050ud0e5cmIYjmXplDugVQ	165375	4
5214	Kash Doll	Single & Happy (feat. Wale & Eric Bellinger)	spotify:track:6n9G36q0JwCS12oQRXCeMi	1	0.702	0.651	0	-8.073	1	0.225	0.0415	0.0	0.0744	0.549	88.826	audio_features	6n9G36q0JwCS12oQRXCeMi	https://api.spotify.com/v1/tracks/6n9G36q0JwCS12oQRXCeMi	https://api.spotify.com/v1/audio-analysis/6n9G36q0JwCS12oQRXCeMi	190224	4
